symbol,timestamp,rank,weight,reason
1307.TW,2025-03-09,1,0.041666666666666664,buy
3032.TW,2025-03-09,2,0.041666666666666664,buy
3379.TWO,2025-03-09,3,0.041666666666666664,buy
3484.TWO,2025-03-09,4,0.041666666666666664,buy
4772.TWO,2025-03-09,5,0.041666666666666664,buy
4950.TWO,2025-03-09,6,0.041666666666666664,buy
6525.TW,2025-03-09,7,0.041666666666666664,buy
6599.TWO,2025-03-09,8,0.041666666666666664,buy
6938.TWO,2025-03-09,9,0.041666666666666664,buy
6977.TWO,2025-03-09,10,0.041666666666666664,buy
7721.TW,2025-03-09,11,0.041666666666666664,buy
9904.TW,2025-03-09,12,0.041666666666666664,buy
1307.TW,2025-03-09,13,0.041666666666666664,buy
3032.TW,2025-03-09,14,0.041666666666666664,buy
3379.TWO,2025-03-09,15,0.041666666666666664,buy
3484.TWO,2025-03-09,16,0.041666666666666664,buy
4772.TWO,2025-03-09,17,0.041666666666666664,buy
4950.TWO,2025-03-09,18,0.041666666666666664,buy
6525.TW,2025-03-09,19,0.041666666666666664,buy
6599.TWO,2025-03-09,20,0.041666666666666664,buy
6938.TWO,2025-03-09,21,0.041666666666666664,buy
6977.TWO,2025-03-09,22,0.041666666666666664,buy
7721.TW,2025-03-09,23,0.041666666666666664,buy
9904.TW,2025-03-09,24,0.041666666666666664,buy
